"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile","Agency_Size","Car_Emissions","Emissions_Avoided"
20072,"Suffolk County , dba: Suffolk County Transit","Yaphank","NY",3149963,25789843,20072,"Demand Response","Suffolk County",0,0,0,0,0,0,0,0,1171526,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,22961909.6,0,0,0,0,0,22961909.6,7.28958073475784,0.890347009867412,"Medium",20219236.912,-2742672.688
20072,"Suffolk County , dba: Suffolk County Transit","Yaphank","NY",3149963,25789843,20072,"Motor Bus","Suffolk County",0,0,0,1112119,0,0,0,0,225361,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",24911465.6,4417075.6,0,0,0,0,0,29328541.2,9.31075736445158,1.13721286321906,"Medium",20219236.912,-9109304.288
20075,"Port Authority Transit Corporation","Camden","NJ",5451983,47004510,20075,"Heavy Rail","Port Authority Transit Corporation",0,0,0,0,0,37581452,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,0,0,0,0,0,19467192136,19467192136,3570.66266274124,414.155836025096,"Medium",36851535.84,-19430340600.16
20076,"Westchester County, dba: Westchester County - Bee Line","White Plains","NY",21997971,90095305,20076,"Demand Response","Westchester County",0,0,0,0,0,0,0,0,287458,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",0,5634176.8,0,0,0,0,0,5634176.8,0.256122566940378,0.0625357425672736,"Medium",70634719.12,65000542.32
20076,"Westchester County, dba: Westchester County - Bee Line","White Plains","NY",21997971,90095305,20076,"Motor Bus","Westchester County",0,0,0,2078480,200800,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",46557952,0,0,0,0,0,0,46557952,2.11646574131769,0.516763354094867,"Medium",70634719.12,24076767.12
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY",66645285,1150894931,20078,"Commuter Rail","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",0,0,0,6998370,0,405036564,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",156763488,0,0,0,0,0,211429086408,211585849896,3174.80598809053,183.844627512744,"Medium",902301625.904,-210683548270.096
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY",66645285,1150894931,20078,"Unknown","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",0,0,0,201156,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",4505894.4,0,0,0,0,0,0,4505894.4,0.0676101002494025,0.00391512229190624,"Medium",902301625.904,897795731.504
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY",66645285,1150894931,20078,"Motor Bus","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",0,0,0,41929,0,0,0,0,0,0,0,0,0,522,"Natural gas",182.8,124039988,"NY",939209.6,0,0,0,0,0,0,939209.6,0.0140926638696196,0.000816068934445589,"Medium",902301625.904,901362416.304
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Commuter Rail","New Jersey Transit Corporation",0,0,0,14099532,0,365911929,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",315829516.8,0,0,0,0,0,189542379222,189858208738.8,956.030422411772,82.0340134414003,"Large",1814477061.488,-188043731677.312
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Demand Response","New Jersey Transit Corporation",0,0,0,0,0,0,0,0,1791397,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,35111381.2,0,0,0,0,0,35111381.2,0.17680325134784,0.0151709401265319,"Large",1814477061.488,1779365680.288
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Light Rail","New Jersey Transit Corporation",0,0,0,0,0,36636308,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,0,0,0,0,0,18977607544,18977607544,95.5616840439902,8.19985252516481,"Large",1814477061.488,-17163130482.512
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Motor Bus","New Jersey Transit Corporation",0,0,1366430,21539346,96478,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",482481350.4,0,15987231,0,0,0,0,498468581.4,2.51003699866599,0.215378511038942,"Large",1814477061.488,1316008480.088
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Vanpool","New Jersey Transit Corporation",0,0,0,0,0,0,0,0,53646,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",0,1051461.6,0,0,0,0,0,1051461.6,0.0052946316320761,0.000454315963478744,"Large",1814477061.488,1813425599.888
20080,"New Jersey Transit Corporation","Newark","NJ",198590133,2314384007,20080,"Unknown","New Jersey Transit Corporation",0,0,0,550499,0,0,0,0,0,0,0,0,0,518,"Natural gas",152.7,64228924,"NJ",12331177.6,0,0,0,0,0,0,12331177.6,0.062093606634525,0.00532806032305079,"Large",1814477061.488,1802145883.888
