"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile"
40192,"Martin County","Stuart","FL",107491,863744,40192,"Demand Response","Martin County",0,0,0,0,0,0,0,0,5410,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",0,106036,0,0,0,0,0,106036,0.986463983031138,0.122763226141079
40192,"Martin County","Stuart","FL",107491,863744,40192,"Motor Bus","Martin County",0,0,0,77544,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",1736985.6,0,0,0,0,0,0,1736985.6,16.1593584579174,2.01099585062241
40200,"Tampa Bay Area Regional Transit Authority","","FL",393283,11813691,40200,"Vanpool","Tampa Bay Area Regional Transit Authority",0,0,0,0,0,0,0,0,151121,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",0,2961971.6,0,0,0,0,0,2961971.6,7.53140003508924,0.250723639208102
40222,"Wake County, dba: GoWake Access","Raleigh","NC",168233,1407813,40222,"Demand Response","Wake County",0,0,0,0,0,0,0,0,242719,0,0,0,0,639,"Natural gas",106.1,126553394,"NC",0,4757292.4,0,0,0,0,0,4757292.4,28.2779977768928,3.3792076078286
40224,"Buncombe County, dba: Mountain Mobility","Asheville","NC",113858,1149650,40224,"Demand Response","Buncombe County",0,0,0,0,0,0,0,0,81237,0,0,0,6615,639,"Natural gas",106.1,126553394,"NC",0,1592245.2,0,84010.5,0,0,0,1676255.7,14.7223357164187,1.45805740877658
40224,"Buncombe County, dba: Mountain Mobility","Asheville","NC",113858,1149650,40224,"Motor Bus","Buncombe County",0,0,18,0,0,0,0,0,15007,0,0,0,1222,639,"Natural gas",106.1,126553394,"NC",0,294137.2,210.6,15519.4,0,0,0,309867.2,2.72152330095382,0.26953177053886
40228,"Mecklenburg County , dba: Mecklenburg Transportation System","Charlotte","NC",349575,3143856,40228,"Demand Response","Mecklenburg County",0,0,0,0,0,0,0,0,60275,0,0,0,0,639,"Natural gas",106.1,126553394,"NC",0,1181390,0,0,0,0,0,1181390,3.3795036830437,0.375777389295184
40232,"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL",1001878,16823179,40232,"Commuter Rail","Central Florida Commuter Rail",0,0,0,991750,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",22215200,0,0,0,0,0,0,22215200,22.1735580579671,1.32051142058228
40244,"Spartanburg Regional Health Services, Inc.","Spartanburg","SC",85594,881308,40244,"Demand Response","Spartanburg Regional Health Services, Inc.",0,0,0,0,0,0,0,0,138059,0,0,0,881,558,"Nuclear",105,100853387,"SC",0,2705956.4,0,11188.7,0,0,0,2717145.1,31.7445743860551,3.08308230493766
40265,"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency","Decatur","AL",38312,206786,40265,"Demand Response","North Central Alabama Regional Council of Governments",0,0,0,0,0,0,0,0,25973,0,0,0,0,727,"Natural gas",114.7,139435010,"AL",0,509070.8,0,0,0,0,0,509070.8,13.2875026101483,2.46182430145174
40928,"Baldwin County Commission, dba: Baldwin Regional Area Transit System","Bay Minette","AL",101576,1077003,40928,"Demand Response","Baldwin County Commission",0,0,0,0,0,0,0,0,126283,0,0,0,0,727,"Natural gas",114.7,139435010,"AL",0,2475146.8,0,0,0,0,0,2475146.8,24.3674371898874,2.29818004220972
40950,"First Tennessee Human Resource Agency, dba: Northeast Tennessee Regional Public Transit","Johnson City","TN",141537,2243178,40950,"Demand Response","First Tennessee Human Resource Agency",0,0,0,0,0,0,0,0,152761,0,0,0,32788,715,"Nuclear",106.9,77791204,"TN",0,2994115.6,0,416407.6,0,0,0,3410523.2,24.0963366469545,1.52039793542911
41105,"Audubon Area Community Services, Inc., dba: GRITS Transportation","Owensboro","KY",132537,2512446,41105,"Demand Response","Audubon Area Community Services, Inc.",0,0,0,0,0,0,0,0,212438,0,0,0,0,1741,"Coal",99.6,63217080,"KY",0,4163784.8,0,0,0,0,0,4163784.8,31.4160181685114,1.65726339988999
41199,"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit","Fort Pierce","FL",671535,3348134,41199,"Demand Response","Board of County Commissioners of St. Lucie County",0,0,0,47690,0,0,0,0,95419,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",1068256,1870212.4,0,0,0,0,0,2938468.4,4.37574869515364,0.877643606856834
41199,"Board of County Commissioners of St. Lucie County, dba: Area Regional Transit","Fort Pierce","FL",671535,3348134,41199,"Motor Bus","Board of County Commissioners of St. Lucie County",0,0,0,82437,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",1846588.8,0,0,0,0,0,0,1846588.8,2.74980276530635,0.551527746499991
42000,"Atlanta-Region Transit Link Authority","Atlanta","GA",845274,27738955,42000,"Cable Car","Atlanta-Region Transit Link Authority",0,0,0,619676,0,0,0,0,0,0,0,0,0,733,"Natural gas",110.6,129221513,"GA",13880742.4,0,0,0,0,0,0,13880742.4,16.421589212492,0.500406103979043
42000,"Atlanta-Region Transit Link Authority","Atlanta","GA",845274,27738955,42000,"Vanpool","Atlanta-Region Transit Link Authority",0,0,0,0,0,0,0,0,162233,0,0,0,0,733,"Natural gas",110.6,129221513,"GA",0,3179766.8,0,0,0,0,0,3179766.8,3.76181782475268,0.114631816519404
44929,"City of Fort Lauderdale","Fort Lauderdale","FL",218791,537030,44929,"Unknown","City of Fort Lauderdale",0,0,0,12706,0,0,0,0,0,0,0,0,0,794,"Natural gas",135.3,259798479,"FL",284614.4,0,0,0,0,0,0,284614.4,1.3008505834335,0.529978585926298
44929,"City of Fort Lauderdale","Fort Lauderdale","FL",218791,537030,44929,"Motor Bus","City of Fort Lauderdale",0,0,0,0,0,0,0,0,2912,0,0,0,15976,794,"Natural gas",135.3,259798479,"FL",0,57075.2,0,202895.2,0,0,0,259970.4,1.18821340914389,0.484089157030334
50001,"City of Appleton, dba: Valley Transit","Appleton","WI",777302,3335281,50001,"Demand Response","City of Appleton",0,0,0,0,0,0,0,0,55155,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,1081038,0,0,0,0,0,1081038,1.39075674576934,0.32412201550634
50001,"City of Appleton, dba: Valley Transit","Appleton","WI",777302,3335281,50001,"Motor Bus","City of Appleton",0,0,0,148796,0,0,0,0,78,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",3333030.4,1528.8,0,0,0,0,0,3334559.2,4.28991460204657,0.999783586450437
50002,"City of Green Bay, dba: Green Bay Metro","Green Bay","WI",836102,2684166,50002,"Demand Response","City of Green Bay",0,0,0,0,0,0,0,0,47169,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,924512.4,0,0,0,0,0,924512.4,1.10574116555157,0.344431901752723
50002,"City of Green Bay, dba: Green Bay Metro","Green Bay","WI",836102,2684166,50002,"Motor Bus","City of Green Bay",0,0,0,123337,0,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",2762748.8,0,0,0,0,0,0,2762748.8,3.30432028628086,1.02927643074236
50003,"City of Kenosha, dba: Kenosha Area Transit","Kenosha","WI",1248670,4037901,50003,"Demand Response","City of Kenosha",0,0,0,0,0,0,0,0,43605,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,854658,0,0,0,0,0,854658,0.684454659757983,0.211658978266183
50003,"City of Kenosha, dba: Kenosha Area Transit","Kenosha","WI",1248670,4037901,50003,"Motor Bus","City of Kenosha",179561,0,0,0,0,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,0,0,0,0,0,0,0,0,0
50003,"City of Kenosha, dba: Kenosha Area Transit","Kenosha","WI",1248670,4037901,50003,"Unknown","City of Kenosha",0,0,0,0,0,90505,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,0,0,0,0,0,103899740,103899740,83.2083256585006,25.7311261469759
50004,"City of La Crosse, dba: City Of La Crosse MTU","La Crosse","WI",685372,2005024,50004,"Demand Response","City of La Crosse",0,0,0,948,0,0,0,0,9419,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",21235.2,184612.4,0,0,0,0,0,205847.6,0.300344338548992,0.102665903251033
50004,"City of La Crosse, dba: City Of La Crosse MTU","La Crosse","WI",685372,2005024,50004,"Motor Bus","City of La Crosse",0,0,0,149236,130800,0,0,0,849,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",3342886.4,16640.4,0,0,0,0,0,3359526.8,4.90175671022452,1.67555440732879
50005,"City of Madison","Madison","WI",9514620,33357045,50005,"Motor Bus","City of Madison",0,0,0,1072778,53017,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",24030227.2,0,0,0,0,0,0,24030227.2,2.52561081787817,0.720394363469546
50006,"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI",1037031,4186567,50006,"Cable Car","City of Racine, Wisconsin",0,0,0,41276,0,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",924582.4,0,0,0,0,0,0,924582.4,0.891566790192386,0.220845002599982
50006,"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI",1037031,4186567,50006,"Demand Response","City of Racine, Wisconsin",0,0,0,0,0,0,0,0,16946,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,332141.6,0,0,0,0,0,332141.6,0.320281264494504,0.0793350733429084
50006,"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI",1037031,4186567,50006,"Motor Bus","City of Racine, Wisconsin",0,0,0,205103,129378,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",4594307.2,0,0,0,0,0,0,4594307.2,4.43025059038736,1.09739249365889
50008,"Milwaukee County, dba: Milwaukee County Transit System","Milwaukee","WI",22735042,75456856,50008,"Demand Response","Milwaukee County",0,0,0,0,0,0,0,0,365809,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",0,7169856.4,0,0,0,0,0,7169856.4,0.315365874406566,0.0950192836022747
50008,"Milwaukee County, dba: Milwaukee County Transit System","Milwaukee","WI",22735042,75456856,50008,"Motor Bus","Milwaukee County",0,0,0,3069396,464119,0,0,0,0,0,0,0,0,1148,"Natural gas",127.2,62548705,"WI",68754470.4,0,0,0,0,0,0,68754470.4,3.02416289356316,0.911175922834633
50010,"METRO Regional Transit Authority","Akron","OH",4324674,18176923,50010,"Demand Response","METRO Regional Transit Authority",0,0,0,50701,0,0,0,0,128485,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",1135702.4,2518306,0,0,0,0,0,3654008.4,0.844921120065929,0.201024584854103
50010,"METRO Regional Transit Authority","Akron","OH",4324674,18176923,50010,"Motor Bus","METRO Regional Transit Authority",0,0,1053705,69319,109324,0,0,0,0,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",1552745.6,0,12328348.5,0,0,0,0,13881094.1,3.20974346274424,0.763665781056563
50011,"Stark Area Regional Transit Authority","Canton","OH",1387558,10133529,50011,"Demand Response","Stark Area Regional Transit Authority",0,0,129875,69350,0,0,0,0,49347,0,0,0,0,1044,"Natural gas",110.4,133223464,"OH",1553440,967201.2,1519537.5,0,0,0,0,4040178.7,2.91171878941277,0.398694146925518
50011,"Stark Area Regional Transit Authority","Canton","OH",1387558,10133529,50011,"Motor Bus","Stark Area Regional Transit Authority",0,0,252110,89974,0,0,0,0,0,41745,0,0,0,1044,"Natural gas",110.4,133223464,"OH",2015417.6,0,2949687,0,0,0,0,4965104.6,3.57830418620339,0.489967966736958
